"","id","quote","rating","date","reviewnospace"
"1","rn608500033","Lion air Indonesia",2,"Reviewed yesterday
NEW ","One of the worst airlines. Got delayed for one and half hours with no excuse whatsoever. Then finally after we flew the AC is not working and the staff was so rude."
"2","rn608269849","Efficient ground crew, a little late, a lttle cramp, its a budget airline",4,"Reviewed 2 days ago
NEW ","check-in was fast, ground crew very efficient. (comparing to the lousy ground crew of CEBU PACIFIC, with 25 counters only 3 open, workers moved at slow motion pace)everything you expect from a budget airline, but its just a very short ride so its really worth it."
"3","rn608005611","Frequent delay",2,"Reviewed 2 days ago
NEW ","Booked this flight due to the flight time however flight was delayed for more than 2 hours. It is quite common for Lion Air to have delayed flight. Leg room is terrible for tall person and seats were uncomfortable. I had to change my flight time to an earlier flight recently and I called the customer service number from Indonesia...."
"4","rn607547935","Dont waste your time or your money!",1,"Reviewed 3 days ago
NEW ","I have been travelling around Indonesia for a month and have had several internal flights with different operators within Indonesia and can say that out of all the airlines, the lion air group are by far the worst. First, multiple lion air group flights have delays with staff not knowing why! Second, their staff directed me to the wrong gate..."
"5","rn607508916","LATE AS USUAL",2,"Reviewed 4 days ago
NEW ","Lion Air - aduh....I wanted Garuda however their Flight schedule did not suit so there I am with only Lion Air as the alternative. Of course- there was the delay- another 1.5 hours stuck in Bandung Airport. I could have done without this aspect of my trip."
"6","rn606760609","Mr",1,"Reviewed 6 days ago
NEW ","Very terrible services, in this case the flight schedule was supposed to be at 9pm from yogyakarta to Bali which mean will get there arround 11pmBut somehow without telling to customer, the flight delayed for about over 2.5hrWas horrible flight and feels like they dont put any efforts to please the customerI was very disappointed and definetly..."
"7","rn606204612","FLIGHT WAS ON TIME SMALL PLANE LIGHT LANDING",5,"Reviewed 1 week ago
","We were a bit cautious to take this flight but better than 2.5hr boat trip which cost more. Our flight was on time nice easy take off and landing, very good price, would fly with them again"
"8","rn606195720","The Worst Airline Ever",1,"Reviewed 1 week ago
","This airline was over three hours late for take off. When we finally tried to take off, the engine failed on the runway. There was no organization or communication of any kind while we sat out there. We finally managed to get to Jakarta on the horribly uncomfortable, un-air conditioned flight but missed connecting flights that border four hours later...."
"9","rn606137620","Communication awful, flight fine",3,"Reviewed 1 week ago
","Apart from the fact they changed the flight to 5hrs early the actual flight was fine. We only realised when we checked in online. If you are taking the flight, check before by checking in online and avoiding the annoyance of missing the flight. It seems like everyone else knew, so check before. Over and out."
"10","rn606126403","The worst airline ever",1,"Reviewed 1 week ago
","Just wanna say: Lion Air is the very worst airline ever! The airline that love let their passenger waiting too long at the airport. I must wait till 6 hours for boarding! My son 4 years has really tired.Same when we travelled from Ujung Pandang to Yogyakarta on June 2018. They delayed 3 hours. I Will not use this..."
"11","rn605825861","10kg of baggage with no option to upgarde online",1,"Reviewed 1 week ago
","Was gonna book my flights with Lion Air but found it impossible to get an answer to baggage . It shows 10kg only which is no good for anyone flying in from overseas . All other carriers offee heavier baggage or at least an up charge not Lion shows not available so I booked all my flights with other carriers..."
"12","rn604935330","Get What You Pay For ",3,"Reviewed 1 week ago
","Budget airline, so I can't say I was surprised by the level of service I received. The staff at the check-in counter were slow, the gate information wasn't properly displayed, the planes weren't as spacious or clean as I would have liked.... BUT I only paid $29 for my ticket... so again, you get what you pay for! Would fly..."
